name,V0001T8B1,V0002T8B1,V0003T8B1,V0004T8B1,V0005T8B1,V0006T8B1,V0007T8B1,V0008T8B1,V0009T8B1,V0010T8B1,V0011T8B1,V0012T8B1,V0013T8B1,V0014T8B1,V0015T8B1,V0016T8B1,V0017T8B1,V0018T8B1,id
PEX5L,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,ENST00000392649
STXBP6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,ENST00000396700
TNR,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,ENST00000367674
LUZP2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,ENST00000620308
GRM7,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,ENST00000486284
HCN1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,ENST00000637305
GRIN2A,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,ENST00000396573
NLGN1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,ENST00000457714
DGKG,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,ENST00000265022
ITGA8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,ENST00000378076
RFX3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,ENST00000617270
GPC5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ENST00000377067
ASTN2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,ENST00000341734
CACNA2D3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ENST00000490478
EBF1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,ENST00000622875
PRRX1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,ENST00000239461
SLC14A1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,ENST00000321925
CD74,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,ENST00000353334
UNC5B,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,ENST00000373192
CARTPT,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,ENST00000296777
CHODL,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,ENST00000299295
HTR2C,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,ENST00000371950
HTR2A,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,ENST00000378688
SNTB1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,ENST00000395601
LAMA4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,ENST00000389463
NTNG2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,ENST00000393229
RGS12,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,ENST00000382788
CACHD1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,ENST00000290039
NPY,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,ENST00000242152
NOS1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,ENST00000317775
TACR1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,ENST00000305249
LRRK1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,ENST00000532145
EGFR,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,ENST00000275493
PVALB,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,ENST00000417718
Blank-0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1
Blank-1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,-1
Blank-2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1
Blank-3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,-1
Blank-4,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,-1
Blank-5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,-1
Blank-6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-1
Blank-7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1
Blank-8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,-1
Blank-9,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1
Blank-10,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1
Blank-11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,-1
Blank-12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,-1
Blank-13,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,-1
Blank-14,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,-1
Blank-15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,-1
Blank-16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1
Blank-17,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,-1
Blank-18,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1
Blank-19,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
Blank-20,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1
Blank-21,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1
Blank-22,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,-1
Blank-23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,-1
Blank-24,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,-1
Blank-25,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1
Blank-26,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,-1
Blank-27,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,-1
Blank-28,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-1
Blank-29,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1
Blank-30,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,-1
Blank-31,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-1
Blank-32,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1
Blank-33,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1
Blank-34,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1
Blank-35,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,-1
Blank-36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,-1
Blank-37,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,-1
Blank-38,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,-1
Blank-39,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,-1
