name,V0001T8B1,V0002T8B1,V0003T8B1,V0004T8B1,V0005T8B1,V0006T8B1,V0007T8B1,V0008T8B1,V0009T8B1,V0010T8B1,V0011T8B1,V0012T8B1,V0013T8B1,V0014T8B1,V0015T8B1,V0016T8B1,id
Tcf3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,105341
Gata2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,170089
Cebpa,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,42985
Lcp1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,131802
Tspan13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,20896
Smarca4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,174008
Pou2af1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,34554
Cnp,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,103120
H2afy,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,16081
Dek,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,21807
Nid1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5532
Cd34,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,16638
Ltbp4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,121175
Chodl,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,23568
Rhoj,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,55390
Errfi1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,30811
Lsr,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,108116
Lmna,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,120377
Tubb6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1513
Cxcl14,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,21970
Mal,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,28854
Ivl,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,53107
Upk1b,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,57767
Blank-0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,-1
Blank-1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1
Blank-2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,-1
Blank-3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
Blank-4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-1
Blank-5,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-1
Blank-6,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-1
Blank-7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,-1
Blank-8,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,-1
Blank-9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-1
Blank-10,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-1
Blank-11,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,-1
